Peragrin Category,Sub Category,Beltline Category,Company Name,Promotion Names,Descriptions ,Exclusions,Geo,Street,City,State,Zip,Email,Phone,Website,Facebook,Twitter,Instagram,Hours
Health,Fitness,Health,Vibe Ride, 15% off and first ride free,Feel the Vibe!,,"33.7801264,-84.3897317","950 W Peachtree ST NW, Suite 225",Atlanta,GA,30309,info@theviberide.com,(470) 235-4903,www.theviberide.com,facebook.com/theviberide,theviberide,theviberide,"0, 1000, 1430
1, 530, 2030
2, 530, 2030
3, 530, 2030
4, 530, 2030
5, 530, 2030
6, 800, 1300"
Health,Fitness,Health,X3 Sports (Highland Ave),One free week for you and a guest,Make sure you tell your boss you're taking vacation!,,"33.7625367,-84.3619219",240 North Highland Ave,Atlanta,GA,30307,,(678) 903-0100 Ext 2,www.x3sports.com,facebook.com/x3sports,,x3sports,"0, 900, 1400
1, 600, 2100
2, 600, 2100
3, 600, 2100
4, 600, 2100
5, 600, 1900
6, 830, 1400"
Health,Fitness,Health,X3 Sports (Huff Rd),One free week for you and a guest,Date night!,,"33.788936,-84.4261769",1092 Huff Rd,Atlanta,GA,30318,,678-903-0100 Ext 3,www.x3sports.com,facebook.com/x3sports,,x3sports,"0, 900, 1400
1, 600, 2100
2, 600, 2100
3, 600, 2100
4, 600, 2100
5, 600, 1800
6, 830, 1400"
Health,Pharmacy,Lifestyle,McArthur's Apothecary,20% off store merchandise purchase with a new or transferred presciption,Give your drugs the edge they need!,,"33.7539647,-84.3698912",93 Edgewood Ave NE b,Atlanta,GA,30312,info@secure.mcarthursapothecary.com,(404) 523-6337,http://www.mcarthursapothecary.com/,facebook.com/mcarthursmeds,,,"1, 900, 1830
2, 900, 1830
3, 900, 1830
4, 900, 1830
5, 900, 1830
6, 1000, 1400"
Health,Massage,Professional,First Hand Experience Professional Massage Studio,15% off any service,Feel the real transformation of 15%,not combined with other offers,"33.8078005,-84.3697917","1874 Piedmont AVE NE, Suite 480D",Atlanta,GA,30324,firsthandexp@aol.com,(404) 226-3590,http://www.firsthandexp.com/appointments.html,,,,"0, 1100, 1700
1, 1100, 2100
2, 1100, 2100
3, 1100, 2100
4, 1100, 2100
5, 1100, 2100
6, 1100, 2100"
Health,Massage,Professional,Forever Blooming Wellness,$20 off initial massage; $10 off thereafter,The gift that keeps on giving!,,"33.7562007,-84.3684688","659 Auburn AVE, Suite 122",Atlanta,GA,30312,earthhealingmassage@gmail.com,(678) 862-6970,www.foreverbloomingwellness.com,facebook.com/ForeverBloomingMassage,kt_colburn,,"2, 1500, 2000
3, 930, 1730
4, 1500, 2000
5, 930, 1730
6, 930, 1730"
Organization,Non-Profit,Lifestyle,Trees Atlanta,"
10% off our Junior TreeKeepers Day Camp","Get those little hands in the dirt, it's good for the soul!",,"33.748139,-84.361648",225 Chester Ave SE,Atlanta,GA,30316,,(404) 522-4097,https://treesatlanta.org/,facebook.com/TreesAtlanta,TreesAtlanta,treesatlanta,"1, 900, 1700
2, 1100, 2100
3, 1100, 2100
4, 1100, 2100
5, 1100, 2100"
Realestate,,Professional,The Levine Team at RE/MAX Greater Atlanta,25% commission rebate by mentioning the Atlanta BeltLine,Because we all know commissions are overrated!,,"33.7944945,-84.4055359",478 Trabert AVE,Atlanta,GA,30309,,678-784-4493,www.georgiamoves.com,facebook.com/craig.levine.545,CLevineRealtor,,Unclaimed
Restaurant,Tapas,Restaurants,10th & Piedmont,10% off,Tapas the night away!,"alcohol excluded, dinner and dine-in only, one discount per table, not combined with other offers, not valid for special events","33.7816779,-84.382588",991 Piedmont AVE NE,Atlanta,GA,30309,info@10thandpiedmont.com,(404) 602-5510,www.10thP.com,facebook.com/10thAndPiedmont,10thAndPiedmont,,"0, 1000, 2200
1, 1130, 2200
2, 1130, 2200
3, 1130, 2200
4, 1130, 2200
5, 1130, 2300
6, 1000, 2300
"
Restaurant,Bar,Restaurants,18.21 Bitters,10% off,We aren't bitter about giving loyal Atlanta Beltline Partnership donors a perk!,excluding barware and everyday cocktail classes,"33.7730898,-84.3680692",675 Ponce City Market N NE,Atlanta,GA,30308,drink@1821bitters.com,(404) 852-7023,https://www.1821bitters.com/,facebook.com/1821bitters,1821bitters,1821bitters,"0, 1200, 2000
1, 1100, 2100
2, 1100, 2100
3, 1100, 2100
4, 1100, 2100
5, 1100, 2100
6, 1100, 2100"
Restaurant,Bar,Restaurants,Bar Mercado,50% off liter of sangria,Because anything less than a liter isn't good for you!,,"33.7567673,-84.3662277",99 Krog St. NE Suit V,Atlanta,GA,30307,,404-428-2733,https://www.barmercadoatl.com/,https://www.facebook.com/barmercadoatl/,,,Unclaimed
Restaurant,Seafood,Restaurants,Beetlecat,"100% Off menu cocktail called ""Surfer on Acid""",We thought we would save you the complication of doing the math :),,"33.7626692,-84.3603698",299 North Highland Avenue Northeast,Atlanta,GA,30307,beetlecatatl@fordfry.com,(678) 732-0360,http://beetlecatatl.com/,facebook.com/BeetleCatAtl,beetlecatatl,beetlecatatl,"0, 1030, 2200
1, 1600, 2200
2, 1600, 2200
3, 1600, 2200
4, 1600, 2200
5, 1130, 2600
6, 1030, 2600"
Restaurant,Italian,Restaurants,Bellina Alimentari,Complimentary house-made Italian soda with purchase,It's to die for!,,"33.7728433,-84.3682923",675 Ponce De Leon Ave NE #131,Atlanta,GA,30308,info@bellina-alimentari.com,(404) 330-9933,http://bellina-alimentari.com/,https://www.facebook.com/bellinaalimentari/,bellinaatlanta,bellinaalimentari,"0, 1200, 2000
1, 1100, 2100
2, 1100, 2100
3, 1100, 2100
4, 1100, 2100
5, 1100, 2200
6, 1100, 2200
"
Restaurant,French,Restaurants,Bread & Butterfly,10% off ,"Ne t'en fais pas - Don't worry, we've got you covered!",food only Tuesday-Friday,"33.7624267,-84.3603631",290 Elizabeth St NE F,Atlanta,GA,30307,info@bread-and-butterfly.com,(678) 515-4536,http://www.bread-and-butterfly.com/,https://www.facebook.com/breadandbutterflyatlanta/?fref=ts,,bread_and_butterfly,"0, 830, 1500
2, 730, 2200
3, 730, 2200
4, 730, 2200
5, 730, 2200
6, 830, 2300"
Retail,Gourmet Food,Restaurants,CaJa Popcorn,10% off,"It's poppin' round here, come see for yourself!",,"33.8188198,-84.3905443",2333 Peachtree RD NE; Suite J,Atlanta,GA,30305,contact@cajapopcorn.com,(404) 846-2156,www.cajapopcorn.com,facebook.com/cajapopcorn,cajapopcorn,,"0, 1200, 1700
1, 1100, 2000
2, 1100, 2000
3, 1100, 2000
4, 1100, 2000
5, 1100, 2100
6, 1100, 2100"
Restaurant,Coffee,Restaurants,Community Grounds Coffeeshop,10% off,The more the merrier!,,"33.7189936,-84.387666",1297 Jonesboro RD,Atlanta,GA,30315,marketorders@fcsministries.org,(404) 586-0692,www.neighborhood-exchange.org ,facebook.com/communitygrounds,communityground,communitygroundsatl,"0, 1200, 1700
1, 630, 1900
2, 630, 1900
3, 630, 1900
4, 630, 1900
5, 630, 1900
6, 830, 1800"
Restaurant,American,Restaurants,Folk Art Restaurant,10% off,Let us show you the folk of the century!,,"33.7666619,-84.3551489",465 N. Highland AVE,Atlanta,GA,30307,,(404) 537-4493,www.folkartrestaurant.com,facebook.com/FolkArtRestaurant,FolkArtAtlanta,,"0, 900, 2100
1, 730, 2100
2, 730, 2100
3, 730, 2100
4, 730, 2100
5, 730, 2200
6, 900, 2200"
Restaurant,Mexican,Restaurants,F.R.O.G.S. Cantina,Buy One Get One maragritas (house margaritas only),For all your #basic needs!,10 per table; 1 visit per day,"33.780192,-84.370384",931 Monroe DR,Atlanta,GA,30308,frogsatl@gmail.com,(404) 607-9967,www.frogsmidtown.com,facebook.com/FROGSCANTINA,FROGSCANTINA,,"0, 1200, 2100
1, 1100, 2200
2, 1100, 2200
3, 1100, 2200
4, 1100, 2200
5, 1100, 2300
6, 1100, 2300

"
Restaurant,Bar & Grill,Restaurants,G's Midtown,10% off,So fly like a G!,"alcohol excluded, dinner and dine-in only, one discount per table, not combined with other offers, not valid for special events","33.7816376,-84.3823077",219 10th ST NE,Atlanta,GA,30309,gilbert@communitashospitality.com,(404) 872-8012,www.gsmidtown.com,facebook.com/GsMidtown,GsMidtown,,"0, 1000, 1600
1, 1700, 2200
2, 1700, 2630
3, 1700, 2630 
4, 1700, 2630
5, 1700, 2300
6, 1700, 2630"
Restaurant,BBQ,Restaurants,GC BBQ,10% off your purchase,You alone hold the power!,,"33.7621581,-84.386172",99 Krog St NE,Atlanta,GA,30307,,(404) 467-4427,http://www.gcbbq.com/,https://www.facebook.com/G.C.BBQ/,gcbbq,grand_champion_bbq,"0, 1100, 1800
1, 1100, 2100
2, 1100, 2100
3, 1100, 2100
4, 1100, 2100
5, 1100, 2200
6, 1100, 2200"
Restaurant,Gastropub,Restaurants,Hampton and Hudson,10% off,Right in the middle of Hampton and Hudson lies a scrumptious treat!,,"33.7621201,-84.3611204",299 North Highland Avenue Northeast,Atlanta,GA,30307,info@hamptonandhudson.com,(404) 948-2123,http://www.hamptonandhudson.com/,https://www.facebook.com/hamptonandhudson/,_HamptonHudson,hamptonhudson,"0, 1000, 00
1, 1100, 2630
2, 1100, 2630
3, 1100, 2630
4, 1100, 2630 
5, 1100, 2630
6, 1000, 2630
"
Restaurant,Pub,Restaurants,HOBNOB Neighborhood Tavern,10% off,"alcohol excluded, dinner and dine-in only, one discount per table, not combined with other offers, not valid for special events",,"33.7967241,-84.3711871",1551 Piedmont AVE NE,Atlanta,GA,30324,,(404) 968-2288,www.hobnobatlanta.com,facebook.com/HOBNOBatlanta,HOBNOB_Atlanta,,"0, 1030, 2300
1, 1100, 2300
2, 1100, 2300
3, 1100, 2300
4, 1100, 00
5, 1100, 00
6, 1030, 00"
Restaurant,Breakfast,Restaurants,Julianna's Crepes,10% off purchase of $25.00 or more,"We're not Crepe, just fun!",,"33.7580417,-84.3643366",775 Lake Ave NE,Atlanta,GA,30307,best@atlantacrepes.com,(404) 436-1825,http://www.atlantacrepes.com/,,,,"0, 900, 1600
2, 800, 1600
3, 800, 1600
4, 800, 1600
5, 800, 1600
6, 900, 1600"
Restaurant,American,Restaurants,Ladybird,10% off,Pitch a tent for the night and enjoy discounts right on the Atlanta Beltline!,,"33.7598,-84.3666223",684 John Wesley Dobbs Ave NE,Atlanta,GA,30312,jess@ladybirdatlanta.com,(404) 458-6838,http://www.ladybirdatlanta.com/,https://www.facebook.com/LadybirdGroveAndMessHall/,LadyBirdAtlanta,ladybirdatlanta,"0, 1100, 00
2, 1100, 00
3, 1100, 00
4, 1100, 00
5, 1100, 00
6, 1100, 00"
Restaurant,Pizza,Restaurants,Mellow Mushroom,Free bruschetta with $15.00 purchase,No one will be mellow after this amazing offer!,,"33.7803308,-84.3706665",931 Monroe DR,Atlanta,GA,30308,midtown@mellowmushroominfo.com,404-874-2291,www.mellowmushroom.com/midtown,facebook.com/mellowmushroommidtown,mellowmidtown,mellowmushroom,"0, 1200, 2200
1, 1100, 2200
2, 1100, 2200
3, 1100, 2200
4, 1100, 2200
5, 1100, 2300
6, 1100, 2300"
Entertainment,Gay Bar,Restaurants,The Model T,$1 off your favorite beverage,"Any and all beverages, even sodas :)",,"33.7725508,-84.3660457","699 Ponce de Leon AVE, Suite 11",Atlanta,GA,30308,party@modeltatlanta.com,(404) 872-2209,www.modeltatlanta.com,https://www.facebook.com/135240239865401,ModelTAtlanta,,"0, 1230, 00
1, 900, 2700
2, 900, 2700
3, 900, 2700
4, 900, 2700
5, 900, 2700
6, 900, 2700"
Restaurant,Bar,Restaurants,Old 4th Ward Distillery,Complimentary tour and tasting,And we will be sure to make it an extra special tour!,,"33.754196,-84.373817",487 Edgewood Ave SE,Atlanta,GA,30312,,(844) 653-3687,http://o4d.com/,https://www.facebook.com/old4thdistillery/,old4th,,"4, 1700, 2100
5, 1700, 2100
6, 1200, 2100"
Restaurant,Mediterranean,Restaurants,Olive Bistro,10% off Food only purchase.,Discount is pre tax for lunch or dinner menus,"Monday -Thursday only, Excludes all drinks, alcohol and soft, Dine in only, Cannot be combined with other specials, One discount per ticket per table ","33.7739348,-84.3679969",650 Ponce De Leon Ave NE,Atlanta,GA,30308,oliveb1099@hotmail.com,(404) 874-5336,http://www.olivebistro.com/,https://www.facebook.com/Olive-Bistro-Midtown-312675165190,olivebistroatl,,"0, 1100, 2100
1, 1100, 2100
2, 1100, 2100
3, 1100, 2100
4, 1100, 2100
5, 1100, 2100
6, 1100, 2100"
Restaurant,American,Restaurants,ONE. midtown kitchen,10% off,It's all ONE big offer!,"food only, one discount per table, one discount per visit, cannot be combined with any other offer","33.791791,-84.371048",559 Dutch Valley RD,Atlanta,GA,30324,,(404) 892-4111,www.onemidtownkitchen.com,facebook.com/ONEmidtownkitchen,ONEmidtownkitchen,onemidtownkitchen,"0, 1100, 1500
0, 1730, 2200
1, 1730, 2200
2, 1730, 2200
3, 1730, 2200
4, 1730, 2300
5, 1730, 2300
6, 1730, 2300"
Restaurant,American,Restaurants,PARISH: The Brasserie and Neighborhood Café,10% off,"Not to be confused with Paris, we are located in Atlanta, GEO!","food only, one discount per table, one discount per visit, cannot be combined with any other offer","33.761852,-84.362558",240 N. Highland Ave,Atlanta,GA,30307,,(404) 681-4434,www.parishatl.com,facebook.com/parishatl,ParishATL,ParishInmanPark,"0, 800, 2100
3, 800, 2200
4, 800, 2200
5, 800, 2300
6, 800, 2300"
Restaurant,Gastropub,Restaurants,Park Tavern,,,,"33.7822412,-84.3714015",500 10th St NE,Atlanta,GA,30309,,(404) 249-0001,http://www.parktavern.com/,https://www.facebook.com/ParkTavern,ParkTavern,,"0, 1130, 00
1, 1630, 00
2, 1630, 00
3, 1630, 00
4, 1630, 00
5, 1630, 00
6, 1130, 00 
"
Restaurant,Mexican,Restaurants,Pure Taqueria,Free Cheese Dip,The Purest cheese dip you'll ever taste!,,"33.7630023,-84.3604397",300 N Highland Ave NE,Atlanta,GA,30307,,(404) 522-7873,http://puretaqueria.com/,https://www.facebook.com/PURE-Taqueria-Alpharetta-22989159075/,besurewithpure,pure_taqueria_,"0, 1100, 2200
1, 1100, 2200
2, 1100, 2200
3, 1100, 2200
4, 1100, 2200
5, 1100, 2300
6, 1100, 2300"
Restaurant,Coffee,Restaurants,Revelator Coffee,10% off purchase,Feel the power of the Revelator first hand!,,"33.763001,-84.3758089",848 Spring St NW #239,Atlanta,GA,30308,info@revelatorcoffee.com,(205) 224-5900,http://revelatorcoffee.com/,https://www.facebook.com/RevelatorCoffeeCompany,,revelatorcoffee/,"0, 900, 1700
1, 700, 1800
2, 700, 1800
3, 700, 1800
4, 700, 1800
5, 700, 1800
6, 900, 1700"
Restaurant,BBQ,Restaurants,Sweet Auburn BBQ,10% off dine-in purchases,Not to be confused with the Auburn Tigers! We are a little bit sweeter on the inside :),,"33.7722778,-84.3549306",656 North Highland Avenue Northeast,Atlanta,GA,30306,,(678) 515-3550,http://sweetauburnbbq.com/,https://www.facebook.com/SweetAuburnBBQ,sweetauburnbbq,sweetauburnbbq,"0, 1100, 2200
1, 1100, 2200
2, 1100, 2200
3, 1100, 2200
4, 1100, 2200
5, 1100, 2300
6, 1100, 2300"
Restaurant,American,Restaurants,TWO urban licks,10% off,"And just to clarify, they aren't real licks :) ","food only, one discount per table, one discount per visit, cannot be combined with any other offer","33.7684531,-84.3634509",820 Ralph McGill BLVD,Atlanta,GA,30308,,(404) 522-4622,www.twourbanlicks.com,facebook.com/TwoUrbanLicks,twourbanlicks,twourbanlicks,"0, 1100, 1500
0, 1730, 2200
1, 1730, 00
2, 1730, 00
3, 1730, 00
4, 1730, 00
5, 1730, 2500
6, 1100, 1500
6, 1730, 2500"
Restaurant,Bar,Restaurants,Urban Tree cidery,free growler when they fill it up with their favorite cider ,We have lie detectors to make sure you don't cheat!,,"33.7949046,-84.4169907",1465 Howell Mill Rd NW,Atlanta,GA,30318,,(404) 855-5546,https://urbantreecidery.com/,http://facebook.com/urbantreecider,urbantreecider,urbantreecider,"0, 1300, 1700
3, 1730, 2100
4, 1730, 2100
5, 1700, 2200
6, 1200, 1700"
Restaurant,Dessert,Restaurants,King of Pop's,25% off KOP's Apparel,Poppin' apparel like it's a Tuesday!,,"33.763779,-84.361052",337 Elizabeth St NE,Atlanta,GA,30307,,(678) 732-9321,http://kingofpops.com,http://www.facebook.com/kingofpops,kingofpops,kingofpops,"0, 1100, 2000
1, 1100, 2000
2, 1100, 2000
3, 1100, 2000
4, 1100, 2000
5, 1100, 2000
6, 1100, 2000"
Retail,Carpet & Flooring,Professional,FLOR,10% off,We'll take care of all your FLOR needs!,In Store Only,"33.7791443,-84.4126722",1100 Howell Mill RD NW,Atlanta,GA,30318,support@flor.com,(404) 685-1601,www.flor.com,facebook.com/florsquares,flor,florsquares,"1, 900, 1700
2, 900, 1700
3, 900, 1700
4, 900, 1700
5, 900, 1700"
Retail,Boutique,Retail,Bridge Boutique,20% off purchases,"May not have crazy Bridge incentives like I-85, but we try our best!",,"33.775621,-84.3552698",1054 St Charles Ave,Atlanta,GA,30306,info@bridgeboutique.com,(404) 549-9913,http://www.bridgeboutique.com/,https://www.facebook.com/bridgeboutique,,bridgeboutique,"0, 1200, 1700
1, 1100, 1900
2, 1100, 1900
3, 1100, 1900
4, 1100, 1900
5, 1100, 1900
6, 1100, 1900"
Retail,Sporting Goods,Retail,Mountain High Outfitters,MHO Promot shirt with purchase of $60.00 or more,Escape away to the mountains without leaving Atlanta!,,"33.7756407,-84.3882015",624 Ponce De Leon Ave NE E-184,Atlanta,GA,30308,,(470) 344-1745,http://mountainhighoutfitters.com/,https://www.facebook.com/mhoutfitters,mhoutfitters,mhoutfitters,"0, 1100, 2000
1, 1000, 2100
2, 1000, 2100
3, 1000, 2100
4, 1000, 2100
5, 1000, 2200
6, 900, 2200
"
Retail,Eyewear,Retail,Select Shades,"Buy one, get two free.  Purchase any pair of sunglasses $49.00+ and receive two house brand fashion shades free.",You literally get to select your own shades!,,"33.7619081,-84.360809",299 North Highland Avenue Northeast,Atlanta,GA,30307,,(404) 963-7310,https://www.select-shades.com/,https://www.facebook.com/selectshadesiq/,,SelectShadesIQ,"0, 1100, 2000
2, 1100, 2000
3, 1100, 2000
4, 1100, 2000
5, 1100, 2200
6, 1100, 2200"
Service,Florist,Lifestyle,Flower Bar,"15% off flower arrangements, 10% off private design party",Perfect for any special occasion or special someone!,,"33.7578274,-84.3673931",660 Irwin St NE,Atlanta,GA,30312,flowerbar@gmail.com,(404) 431-0811,http://www.atlantaflowerbar.com/,https://www.facebook.com/atlantaflowerbar,,atlanta_flowerbar,"0, 1100, 1400
2, 1200, 1700
3, 1200, 1700
4, 1100, 1700
5, 1100, 1700
6, 1000, 1700"
Service,Barber,Lifestyle,The Men's Parlor @ IQ,$21 mens haircut (normally $25) and 10% off products,And ya'll know that's a steal in ATL!,,"33.761899,-84.360873",299 North Highland Avenue Northeast,Atlanta,GA,30307,info@themensparloratl.com,(678) 705-5580,http://www.themensparloratl.com/,https://www.facebook.com/themensparloratiq,,mensparloratl,"0, 1100, 1800
2, 1000, 2000
3, 1000, 2000
4, 1000, 2000
5, 1000, 2000
6, 1000, 1900"
Service,Travel Agent,Professional,Gardner-Mathews Travel Concierge,"15% off first service
10% off repeat service
15% off corporate service with 12-month contract
","Take a trip on the wild side, come explore the possibilities!
Dive deep into adventure while we cover the planning
Slip into the bliss of a dream vacation with no worries whatsoever",,"33.7529336,-84.3743456","49 Boulevard SE, Suite 407",Atlanta,GA,30312-1829,info@gardner-mathews.com,404.438.0851,http://gardner-mathews.com/,facebook.com/GardnerMathews,,,unclaimed
Service,Veterinarian,Professional,Intown Animal Hospital,10% off wellness visit,"Includes physical exam, vaccinations, and heartworm testing",,"33.7927506,-84.3547147","1402 N Highland Ave, Suite #3",Atlanta,GA,30306,intownah@gmail.com,404.881.1805,www.intownanimalhospital.com/,https://www.facebook.com/Intown-Animal-Hospital-182370001785189/,IntownAtl,,"1, 830, 1800
2, 830, 1800
3, 830, 1800
4, 830, 1800
5, 830, 1800
6, 830, 1200"
